Job Title,Company,country,Experience Level,Salary,Industry,Required Skills,education_requirement_level
Television production assistant,Gonzales Ltd,Toronto,Senior Level,64000,Marketing,"SEO, Content Writing, Market Research",3
Acupuncturist,Martin PLC,San Francisco,Senior Level,103000,Software,"AWS, Python",4
Chief Operating Officer,"Anderson, Johnson and Barron",Toronto,Mid Level,51000,Finance,"Excel, Financial Modeling, SQL",1
Psychotherapist,Stone Ltd,Bangalore,Entry Level,142000,Retail,Merchandising,4
"Restaurant manager, fast food","Brown, Porter and White",Sydney,Entry Level,83000,Manufacturing,"Production Planning, Quality Control, Supply Chain",1
Geochemist,"Baxter, Hall and Collins",Bangalore,Entry Level,75000,Marketing,"Content Writing, SEO, Social Media, Market Research",4
Insurance underwriter,"Duran, King and Morales",Berlin,Entry Level,124000,Finance,"Python, Risk Analysis, SQL, Financial Modeling",2
Herbalist,"Perry, Harper and Blair",London,Mid Level,119000,Marketing,Social Media,1
Mental health nurse,Mahoney Inc,New York,Entry Level,55000,Education,"Research, Curriculum Design",3
Building services engineer,"Harvey, Sherman and Jones",Toronto,Entry Level,97000,Healthcare,"Patient Care, Pharmaceuticals",4
"Teacher, secondary school","Gonzalez, Williams and Adams",New York,Mid Level,142000,Finance,"Risk Analysis, Excel, Python, SQL",2
Retail merchandiser,Parks and Sons,Bangalore,Mid Level,124000,Healthcare,"Medical Research, Patient Care, Nursing, Pharmaceuticals",4
"Scientist, forensic","Miller, Hubbard and Thompson",Berlin,Mid Level,74000,Software,"AWS, Python",3
Arts administrator,"Solis, Hinton and Bond",San Francisco,Entry Level,96000,Finance,"Financial Modeling, SQL",1
Television/film/video producer,Rodgers and Sons,New York,Senior Level,64000,Retail,"Merchandising, Sales, Customer Service",3
Quarry manager,Riddle-Patel,Sydney,Mid Level,144000,Finance,Risk Analysis,5
Architect,Pollard-Young,New York,Mid Level,60000,Education,"EdTech, Research, Teaching, Curriculum Design",5
"Surveyor, building control",Pearson-Perkins,New York,Senior Level,148000,Marketing,Market Research,2
"Restaurant manager, fast food","Martinez, Robbins and Leon",San Francisco,Entry Level,123000,Finance,"Financial Modeling, Excel",4
Homeopath,Parks PLC,San Francisco,Senior Level,72000,Healthcare,"Patient Care, Pharmaceuticals",1
Industrial/product designer,Rogers-Becker,London,Mid Level,53000,Manufacturing,"Production Planning, Quality Control",3
Dramatherapist,Horton Inc,London,Entry Level,118000,Education,Research,2
Database administrator,Li and Sons,Bangalore,Mid Level,100000,Education,Research,5
Information systems manager,Gilmore-Diaz,Bangalore,Entry Level,71000,Manufacturing,"Quality Control, Supply Chain",3
Building surveyor,"Banks, Bass and Mitchell",San Francisco,Senior Level,54000,Manufacturing,"Supply Chain, Quality Control, Production Planning",4
Systems developer,"Rivera, Obrien and Sandoval",Sydney,Entry Level,98000,Finance,"Financial Modeling, Excel, Python",1
"Education officer, museum",Ramirez and Sons,London,Mid Level,132000,Education,"EdTech, Research, Teaching",4
"Therapist, art","Donovan, Cooke and Sullivan",London,Entry Level,77000,Retail,"Customer Service, Merchandising",3
Broadcast journalist,Salinas-Anderson,London,Senior Level,52000,Finance,SQL,4
Occupational therapist,Morris LLC,San Francisco,Mid Level,130000,Software,"C++, Python, React, Java",1
Clinical embryologist,Flowers PLC,London,Entry Level,126000,Manufacturing,"Supply Chain, Production Planning, Quality Control",4
"Journalist, newspaper","Spencer, Mclaughlin and Carpenter",London,Entry Level,52000,Manufacturing,Production Planning,2
"Journalist, magazine",Gutierrez-Eaton,Toronto,Entry Level,82000,Education,Teaching,5
Fisheries officer,"Davis, Newman and Rasmussen",New York,Entry Level,79000,Education,"Teaching, EdTech, Research",4
"Horticulturist, amenity","Curry, Larson and White",London,Entry Level,135000,Manufacturing,Quality Control,5
"Geologist, wellsite",Knight Ltd,New York,Mid Level,132000,Software,Machine Learning,4
"Sound technician, broadcasting/film/video",Arnold-Erickson,New York,Senior Level,69000,Retail,"Sales, Customer Service",2
Administrator,Cain-Humphrey,San Francisco,Mid Level,115000,Marketing,"Market Research, Content Writing, SEO",4
"Nurse, mental health","Quinn, Fitzpatrick and Trujillo",Sydney,Entry Level,135000,Finance,Risk Analysis,5
Astronomer,"Jones, Trevino and Bennett",Bangalore,Senior Level,46000,Finance,"Excel, Risk Analysis",2
Regulatory affairs officer,"Campbell, Wright and Eaton",London,Entry Level,128000,Education,"Teaching, Curriculum Design, EdTech",4
Agricultural consultant,Davis-Bennett,Berlin,Mid Level,69000,Retail,"Sales, Merchandising, Customer Service",3
Naval architect,Lamb-Hill,New York,Entry Level,81000,Finance,SQL,4
Training and development officer,Ramirez-Love,San Francisco,Entry Level,86000,Marketing,Content Writing,5
Maintenance engineer,Colon and Sons,Sydney,Mid Level,47000,Marketing,"Content Writing, Google Ads, Market Research, SEO",5
Community development worker,Jones and Sons,Sydney,Senior Level,42000,Retail,"Sales, Merchandising, Customer Service",2
Database administrator,Huff Inc,Bangalore,Senior Level,125000,Software,"SQL, Java",4
Multimedia programmer,Hoover-Parker,Berlin,Mid Level,75000,Healthcare,"Medical Research, Pharmaceuticals",1
Homeopath,Carrillo-Norton,London,Entry Level,54000,Software,"React, C++",5
Control and instrumentation engineer,Thompson-Berry,San Francisco,Entry Level,100000,Marketing,"Market Research, Social Media, SEO, Google Ads",4
International aid/development worker,Ramirez LLC,London,Mid Level,148000,Manufacturing,"Quality Control, Supply Chain, Production Planning",4
Theme park manager,"Anderson, Colon and Conley",London,Entry Level,77000,Education,"Research, Curriculum Design, EdTech",1
Art therapist,Torres-Washington,Bangalore,Entry Level,79000,Education,"EdTech, Research, Curriculum Design, Teaching",4
Careers adviser,Cantu LLC,Bangalore,Senior Level,133000,Marketing,"Market Research, Google Ads",1
Network engineer,"Edwards, Martin and Castillo",Berlin,Entry Level,118000,Healthcare,"Pharmaceuticals, Patient Care, Medical Research",3
Analytical chemist,Payne-Riddle,London,Senior Level,55000,Finance,"Excel, SQL",3
Public librarian,Horton Inc,Sydney,Mid Level,59000,Software,"Python, AWS",2
"Engineer, site",Huang Inc,Berlin,Senior Level,83000,Manufacturing,"Production Planning, Quality Control",4
Tourism officer,"Flores, Wright and Flores",Sydney,Mid Level,65000,Retail,"Sales, Merchandising, Customer Service",2
Warden/ranger,Bullock Ltd,Sydney,Mid Level,59000,Finance,"SQL, Risk Analysis",5
Paediatric nurse,"Moreno, Davis and Harrison",Berlin,Mid Level,81000,Software,"C++, AWS",1
"Accountant, chartered certified",Walker-Dixon,Berlin,Senior Level,139000,Retail,"Sales, Customer Service",1
Information officer,"Jordan, Hughes and Alvarado",New York,Senior Level,84000,Software,Python,3
Ophthalmologist,Davis-Dawson,London,Senior Level,144000,Healthcare,"Medical Research, Patient Care, Nursing",3
Research scientist (physical sciences),Davis-Jackson,San Francisco,Entry Level,91000,Education,"Curriculum Design, Teaching",4
Special effects artist,"Garcia, Carson and Pierce",Berlin,Mid Level,138000,Marketing,"Google Ads, SEO, Market Research",4
Insurance account manager,Gilbert Inc,Berlin,Mid Level,107000,Finance,Excel,5
Television camera operator,"Jordan, Silva and Jackson",Sydney,Senior Level,132000,Software,"Java, AWS, C++, Machine Learning",2
Purchasing manager,Jarvis PLC,New York,Mid Level,65000,Retail,Merchandising,2
Associate Professor,Coleman-Mccoy,Sydney,Mid Level,106000,Manufacturing,"Quality Control, Supply Chain, Production Planning",2
"Engineer, land",Singh-Kennedy,San Francisco,Senior Level,87000,Healthcare,"Medical Research, Nursing, Patient Care, Pharmaceuticals",4
Production manager,Harris-Willis,London,Mid Level,101000,Finance,"Financial Modeling, Excel, SQL, Python",4
Clothing/textile technologist,Cunningham and Sons,San Francisco,Mid Level,51000,Marketing,"Google Ads, Content Writing",4
"Accountant, chartered public finance",Foster Ltd,Bangalore,Senior Level,81000,Healthcare,"Patient Care, Medical Research",4
Web designer,"Williams, Marquez and Owens",London,Mid Level,132000,Retail,"Customer Service, Merchandising, Sales",5
Consulting civil engineer,Johnson-Ramirez,Bangalore,Senior Level,60000,Education,"Curriculum Design, EdTech, Teaching, Research",4
Radiation protection practitioner,"Rosales, Thomas and Vasquez",London,Mid Level,105000,Finance,"Financial Modeling, SQL, Risk Analysis, Excel",1
Product designer,"Davis, Villarreal and Hill",Sydney,Entry Level,57000,Software,"Python, SQL, C++, AWS",2
Pensions consultant,"Hood, Lopez and Rodriguez",San Francisco,Mid Level,95000,Software,"React, SQL, C++",4
Software engineer,"Turner, Walker and Pacheco",Sydney,Entry Level,85000,Marketing,"Social Media, SEO, Google Ads, Content Writing",1
Media planner,Gonzales and Sons,Toronto,Entry Level,138000,Retail,Customer Service,5
Investment analyst,Rowe-Graves,Toronto,Mid Level,118000,Software,"AWS, React, Machine Learning",2
Nature conservation officer,Waters-Berger,Sydney,Senior Level,64000,Retail,"Customer Service, Merchandising",1
"Sound technician, broadcasting/film/video","Lewis, Reynolds and Ewing",London,Mid Level,115000,Education,Curriculum Design,1
"Production assistant, radio",Gates and Sons,New York,Senior Level,122000,Manufacturing,"Quality Control, Production Planning, Supply Chain",5
Counselling psychologist,"Fry, Benson and Garrison",Bangalore,Senior Level,119000,Software,"Java, C++, Python, AWS",2
"Production assistant, radio",Barber-Hamilton,Bangalore,Entry Level,118000,Finance,"Python, Financial Modeling, SQL",3
Insurance claims handler,Hart Inc,Berlin,Mid Level,49000,Retail,Sales,3
"Designer, exhibition/display",Rose-Giles,Sydney,Entry Level,149000,Marketing,SEO,5
"Scientist, research (maths)",Jacobs and Sons,San Francisco,Entry Level,83000,Healthcare,"Medical Research, Pharmaceuticals, Patient Care, Nursing",3
Web designer,"Taylor, Richardson and Rivas",New York,Senior Level,55000,Education,"Curriculum Design, Teaching",3
Human resources officer,"Page, Velazquez and Romero",Bangalore,Mid Level,96000,Marketing,Market Research,5
Audiological scientist,"Campbell, Martinez and Valencia",Bangalore,Senior Level,65000,Finance,"SQL, Excel, Risk Analysis, Python",1
"Nurse, adult",Garcia Ltd,London,Mid Level,114000,Education,"Research, Curriculum Design, Teaching",3
Conference centre manager,Wu-Prince,New York,Senior Level,71000,Manufacturing,"Supply Chain, Quality Control",5
Stage manager,Lee-Johnson,Bangalore,Senior Level,72000,Software,Machine Learning,3
Conference centre manager,Boone-Walls,Toronto,Mid Level,75000,Finance,Python,2
"Administrator, Civil Service",Young and Sons,New York,Mid Level,119000,Software,"Machine Learning, AWS, SQL, Python",3
Scientific laboratory technician,"Nielsen, Kline and Mason",San Francisco,Entry Level,70000,Education,Teaching,3
Ophthalmologist,Kirk-Estrada,Berlin,Senior Level,59000,Manufacturing,"Supply Chain, Production Planning, Quality Control",4
Public librarian,Pennington-Price,Sydney,Senior Level,114000,Finance,"Financial Modeling, Excel",4
Associate Professor,Jones-Hughes,Bangalore,Senior Level,98000,Healthcare,"Medical Research, Pharmaceuticals",2
Jewellery designer,Sutton Inc,Toronto,Entry Level,115000,Finance,"Excel, Python",3
Barrister,"Reynolds, Watson and Spencer",Toronto,Entry Level,107000,Education,"Teaching, Research, EdTech",2
Careers information officer,Walker-Clayton,New York,Mid Level,53000,Finance,"Risk Analysis, Python, Financial Modeling, Excel",2
Manufacturing systems engineer,Callahan-Payne,Berlin,Entry Level,72000,Retail,"Customer Service, Merchandising",2
Restaurant manager,"Reyes, Dillon and Moran",New York,Senior Level,115000,Healthcare,Medical Research,2
"Programmer, applications",Caldwell PLC,Berlin,Senior Level,46000,Education,Teaching,3
Petroleum engineer,Donovan and Sons,San Francisco,Mid Level,141000,Manufacturing,"Production Planning, Quality Control, Supply Chain",1
Arboriculturist,Hughes-Phillips,Toronto,Entry Level,92000,Software,"AWS, C++, React, Python",1
Personnel officer,Perry and Sons,New York,Mid Level,131000,Software,"Python, AWS, C++",2
Immigration officer,Martin and Sons,London,Entry Level,73000,Marketing,Google Ads,5
Comptroller,"Robinson, Simmons and Shea",London,Entry Level,67000,Retail,Customer Service,3
Publishing rights manager,Bailey and Sons,San Francisco,Senior Level,123000,Retail,"Sales, Customer Service",4
"Geologist, engineering",Obrien-Wright,Berlin,Entry Level,134000,Finance,"Risk Analysis, Python, SQL",1
Ceramics designer,Clark-Obrien,New York,Senior Level,146000,Software,"C++, Machine Learning, React",3
Television/film/video producer,"Guzman, Rodriguez and Martinez",London,Mid Level,97000,Marketing,"Market Research, Social Media, SEO, Content Writing",1
"Designer, fashion/clothing",Dixon Ltd,London,Mid Level,141000,Manufacturing,"Production Planning, Supply Chain, Quality Control",3
Outdoor activities/education manager,"Moore, Levy and Macdonald",Toronto,Mid Level,76000,Manufacturing,"Quality Control, Production Planning, Supply Chain",1
Solicitor,"Jones, Gallegos and Brown",Berlin,Mid Level,119000,Marketing,"Market Research, Content Writing",2
"Engineer, civil (contracting)","Pearson, Spears and Nash",Sydney,Entry Level,42000,Retail,Customer Service,3
Air traffic controller,Davis Ltd,San Francisco,Senior Level,43000,Software,"SQL, AWS, C++, React",5
Drilling engineer,Potts Inc,Berlin,Mid Level,64000,Software,Python,2
Fitness centre manager,Boyd-Romero,Berlin,Entry Level,117000,Marketing,"Social Media, Market Research",1
"Engineer, building services",Mosley-Herring,London,Entry Level,94000,Retail,"Sales, Merchandising, Customer Service",1
"Psychologist, clinical",Mccullough-Gilbert,London,Senior Level,41000,Marketing,"Content Writing, Google Ads, SEO, Social Media",4
Arts development officer,Boyd and Sons,Sydney,Senior Level,50000,Finance,"Python, Excel, SQL",5
International aid/development worker,Long-Frank,Bangalore,Mid Level,52000,Software,"Python, Machine Learning, React",3
Geoscientist,Wood Group,New York,Senior Level,74000,Retail,"Merchandising, Sales, Customer Service",3
Chiropodist,Thomas and Sons,London,Senior Level,148000,Education,"Curriculum Design, Teaching, EdTech",4
Data processing manager,"Rosales, Jenkins and Logan",Sydney,Entry Level,80000,Software,"Machine Learning, SQL, Python, C++",4
Clinical psychologist,Collins and Sons,Toronto,Mid Level,62000,Healthcare,"Pharmaceuticals, Patient Care, Medical Research",2
Communications engineer,"Rodriguez, Norton and Carpenter",San Francisco,Entry Level,124000,Retail,"Merchandising, Sales, Customer Service",1
Bookseller,Rodriguez-Ross,London,Senior Level,72000,Retail,"Merchandising, Customer Service, Sales",5
"Restaurant manager, fast food","Nguyen, Gibbs and Barnett",Berlin,Mid Level,98000,Retail,Customer Service,3
Lobbyist,Cervantes PLC,London,Entry Level,146000,Education,"EdTech, Teaching, Curriculum Design, Research",4
Haematologist,Harris LLC,New York,Senior Level,143000,Manufacturing,"Production Planning, Quality Control, Supply Chain",5
"Radiographer, therapeutic",Suarez and Sons,San Francisco,Entry Level,72000,Marketing,"SEO, Social Media, Google Ads, Content Writing",3
Futures trader,"James, Smith and Mcdaniel",London,Entry Level,70000,Software,React,2
Hydrologist,"Schmidt, Nichols and Montoya",San Francisco,Senior Level,147000,Finance,"Financial Modeling, Excel, Python",5
"Scientist, research (maths)",Bowman LLC,New York,Entry Level,144000,Retail,"Customer Service, Sales",1
"Conservation officer, historic buildings",Lloyd and Sons,Bangalore,Mid Level,113000,Marketing,"Market Research, Content Writing",2
Interior and spatial designer,"Moore, Oliver and Mitchell",Bangalore,Entry Level,132000,Education,"Curriculum Design, Teaching, EdTech",2
Medical technical officer,"Velazquez, Richardson and Cantu",Bangalore,Entry Level,125000,Manufacturing,"Quality Control, Production Planning",1
"Programmer, applications",Anderson-Richardson,Berlin,Entry Level,70000,Software,AWS,1
Data processing manager,Morrison Ltd,San Francisco,Entry Level,68000,Healthcare,"Pharmaceuticals, Patient Care, Nursing, Medical Research",4
Fashion designer,"Johnson, Garrison and Bates",San Francisco,Entry Level,55000,Education,"Teaching, Curriculum Design",3
Archivist,"Morris, Murphy and Norton",New York,Senior Level,101000,Retail,"Sales, Customer Service, Merchandising",1
Television camera operator,Hunt Ltd,Berlin,Entry Level,123000,Marketing,"Social Media, SEO, Google Ads",3
"Buyer, industrial",Ward Group,Bangalore,Mid Level,86000,Software,"React, Machine Learning",5
Ceramics designer,Logan-Martin,London,Mid Level,65000,Education,Teaching,2
Educational psychologist,"Murphy, Willis and Howard",Bangalore,Entry Level,116000,Manufacturing,"Quality Control, Supply Chain, Production Planning",2
"Physicist, medical",Jordan Ltd,London,Senior Level,53000,Retail,"Merchandising, Sales",1
IT sales professional,"Moore, Dickerson and Mueller",Berlin,Senior Level,105000,Finance,"Financial Modeling, SQL, Excel",5
Commercial horticulturist,Castillo and Sons,London,Entry Level,66000,Education,EdTech,2
Commercial/residential surveyor,Jimenez and Sons,Bangalore,Entry Level,142000,Marketing,"SEO, Google Ads",5
Market researcher,Beltran-Carpenter,Berlin,Mid Level,114000,Retail,"Sales, Merchandising",1
Horticultural consultant,Mclean-Gibbs,Berlin,Mid Level,141000,Finance,"Excel, Python, Financial Modeling, SQL",4
Solicitor,Harrison-Mcmahon,London,Senior Level,142000,Marketing,Social Media,2
Ambulance person,"Silva, Lane and Collier",Bangalore,Mid Level,132000,Software,"C++, Java, SQL",3
IT trainer,Jackson-Lin,Sydney,Mid Level,119000,Marketing,Content Writing,3
"Engineer, land",Yang Inc,London,Entry Level,73000,Finance,"Python, Excel",5
Trade union research officer,"Bentley, Jackson and Lane",London,Entry Level,127000,Manufacturing,"Supply Chain, Quality Control",4
"Designer, furniture",Dominguez LLC,San Francisco,Senior Level,113000,Manufacturing,Production Planning,5
Environmental education officer,Baldwin Group,Berlin,Senior Level,131000,Education,"Curriculum Design, EdTech, Research",4
Hotel manager,"Wood, Robbins and Wilson",Toronto,Entry Level,58000,Education,"Research, Curriculum Design",3
Recycling officer,Edwards-Wright,Bangalore,Entry Level,136000,Software,"Java, SQL",3
Pharmacologist,Arnold-Martin,Sydney,Mid Level,41000,Education,Teaching,4
Occupational hygienist,Murray and Sons,Toronto,Mid Level,46000,Healthcare,"Medical Research, Pharmaceuticals, Nursing, Patient Care",2
Mechanical engineer,Beard Inc,San Francisco,Mid Level,91000,Software,"Machine Learning, Python, React",5
Insurance claims handler,Miranda-Elliott,San Francisco,Entry Level,116000,Retail,"Customer Service, Sales, Merchandising",2
Meteorologist,Watkins-Dawson,San Francisco,Mid Level,116000,Software,"Java, C++, React",2
Retail manager,Glover-Henry,Sydney,Mid Level,86000,Finance,"Python, SQL, Excel",1
Arboriculturist,Baker PLC,Bangalore,Entry Level,117000,Education,"Curriculum Design, Teaching, Research",1
Air traffic controller,Carroll LLC,Toronto,Entry Level,115000,Retail,Merchandising,3
Recycling officer,Fuentes Ltd,Sydney,Entry Level,56000,Software,"Python, Java, React, C++",2
Fast food restaurant manager,Tran-Crane,New York,Entry Level,144000,Healthcare,"Nursing, Medical Research, Pharmaceuticals, Patient Care",1
Psychotherapist,Adams-Pierce,New York,Entry Level,90000,Marketing,"Google Ads, SEO",2
Medical physicist,Chambers PLC,London,Senior Level,104000,Marketing,"Market Research, SEO",2
"Engineer, civil (consulting)",Taylor and Sons,San Francisco,Mid Level,60000,Retail,Customer Service,4
Retail manager,"Williams, Lawson and Wilson",Toronto,Mid Level,49000,Healthcare,"Patient Care, Medical Research, Pharmaceuticals, Nursing",3
Hydrogeologist,Malone-Elliott,San Francisco,Entry Level,41000,Education,"Teaching, EdTech",5
Insurance claims handler,"Flores, Schaefer and Chen",Sydney,Mid Level,128000,Education,"Teaching, EdTech, Curriculum Design",3
Ophthalmologist,Jacobson-Booker,Bangalore,Senior Level,130000,Finance,"Financial Modeling, Python",5
Forest/woodland manager,Phillips Ltd,Sydney,Entry Level,58000,Finance,"SQL, Excel, Python",1
Armed forces logistics/support/administrative officer,Ford-Cole,San Francisco,Entry Level,139000,Retail,"Merchandising, Customer Service",3
Data scientist,Waller-Cook,New York,Senior Level,42000,Healthcare,Patient Care,5
Biomedical engineer,"Lewis, Harper and Bennett",San Francisco,Mid Level,149000,Manufacturing,Supply Chain,2
Museum/gallery curator,Armstrong-Taylor,London,Senior Level,65000,Healthcare,Medical Research,4
"Horticulturist, commercial",Thomas-Clark,New York,Entry Level,43000,Finance,"Excel, Financial Modeling, Risk Analysis, SQL",5
Farm manager,Mason-Moreno,Sydney,Mid Level,143000,Retail,Sales,3
"Lighting technician, broadcasting/film/video",Hunter LLC,Toronto,Entry Level,86000,Software,SQL,4
Print production planner,Thompson-Arnold,Toronto,Mid Level,47000,Healthcare,"Medical Research, Patient Care, Nursing, Pharmaceuticals",1
Financial manager,"Lee, Castillo and Shelton",San Francisco,Entry Level,65000,Marketing,Market Research,2
Network engineer,"Chapman, Brown and Donovan",Berlin,Senior Level,46000,Marketing,"Content Writing, Social Media",5
Prison officer,"Moore, Cline and Wright",London,Entry Level,61000,Retail,"Merchandising, Sales",2
Probation officer,Hatfield Ltd,Toronto,Senior Level,112000,Software,C++,5
Armed forces logistics/support/administrative officer,"Rowe, Johnson and Haley",London,Senior Level,114000,Finance,"Financial Modeling, Excel, SQL, Risk Analysis",3
Geographical information systems officer,"Savage, Kirby and Nguyen",Sydney,Mid Level,63000,Healthcare,"Patient Care, Medical Research, Pharmaceuticals, Nursing",1
Dancer,Williams-Ramirez,Sydney,Entry Level,54000,Finance,"SQL, Excel, Financial Modeling",2
Camera operator,Brooks Ltd,New York,Mid Level,116000,Marketing,"Content Writing, SEO, Google Ads, Market Research",5
Exercise physiologist,Lynch-Floyd,Bangalore,Entry Level,130000,Manufacturing,"Supply Chain, Quality Control",5
"Scientist, research (maths)","Ramirez, Scott and Aguilar",Berlin,Senior Level,93000,Education,"EdTech, Teaching, Curriculum Design, Research",3
Maintenance engineer,Spears LLC,London,Entry Level,146000,Finance,"Excel, Risk Analysis",5
Multimedia specialist,Silva-Farmer,London,Mid Level,137000,Manufacturing,"Quality Control, Production Planning, Supply Chain",3
Publishing rights manager,Guzman Inc,Toronto,Mid Level,83000,Software,"Java, React, SQL, C++",2
Sales executive,Atkins LLC,Berlin,Senior Level,62000,Healthcare,Medical Research,3
Commercial horticulturist,"Floyd, Hughes and Fowler",London,Entry Level,112000,Healthcare,Medical Research,1
Agricultural engineer,Price-Anderson,San Francisco,Senior Level,62000,Marketing,"Google Ads, SEO, Content Writing",1
Dispensing optician,"Yates, Ryan and Nelson",Berlin,Entry Level,77000,Finance,"Python, Risk Analysis",1
Engineering geologist,"Small, Williams and Ward",San Francisco,Entry Level,144000,Manufacturing,"Production Planning, Quality Control",4
"Geneticist, molecular",Bell-Thomas,Bangalore,Mid Level,53000,Retail,"Merchandising, Sales, Customer Service",3
Marketing executive,Smith-Vazquez,New York,Senior Level,123000,Manufacturing,"Supply Chain, Quality Control, Production Planning",4
Industrial/product designer,"Jones, Mcfarland and Conley",London,Mid Level,64000,Education,"Teaching, Curriculum Design",1
"Surveyor, rural practice","Reed, Stevens and Davis",Toronto,Entry Level,71000,Healthcare,"Nursing, Medical Research, Patient Care",3
Pension scheme manager,Rodriguez Ltd,London,Entry Level,85000,Manufacturing,"Supply Chain, Production Planning, Quality Control",4
Pathologist,"Massey, Fischer and Wu",Berlin,Mid Level,101000,Education,"Research, Curriculum Design, Teaching",3
Psychotherapist,"Ellison, Barrera and Knapp",Sydney,Mid Level,115000,Retail,"Merchandising, Customer Service, Sales",2
Water quality scientist,Cunningham-Sharp,San Francisco,Senior Level,121000,Finance,"Excel, Risk Analysis, Financial Modeling, Python",1
Health physicist,"Davis, Moore and Zimmerman",London,Mid Level,134000,Retail,Customer Service,5
Energy manager,"Wallace, Morse and Lewis",Toronto,Senior Level,97000,Education,"Research, EdTech, Curriculum Design",2
Food technologist,Atkinson-Hamilton,London,Mid Level,78000,Marketing,"Market Research, Google Ads, SEO, Content Writing",5
Agricultural engineer,"Sanders, Wood and Harris",Sydney,Senior Level,147000,Retail,"Merchandising, Sales",1
Writer,Rogers Inc,Bangalore,Senior Level,42000,Healthcare,"Medical Research, Nursing, Pharmaceuticals",5
"Accountant, chartered public finance",Li and Sons,San Francisco,Entry Level,51000,Marketing,"SEO, Social Media, Market Research, Google Ads",2
"Development worker, community",Miller-Gardner,New York,Entry Level,97000,Marketing,"SEO, Social Media, Content Writing",1
Newspaper journalist,Washington PLC,New York,Mid Level,64000,Software,"React, C++",3
Geoscientist,"Chavez, Berry and Anderson",Sydney,Mid Level,148000,Retail,"Customer Service, Merchandising, Sales",4
Warehouse manager,Anderson Group,New York,Mid Level,81000,Education,"Curriculum Design, EdTech, Teaching",3
Land,Garcia-Robinson,San Francisco,Mid Level,108000,Retail,"Merchandising, Customer Service, Sales",3
"Scientist, forensic",Cooley and Sons,London,Entry Level,130000,Healthcare,"Nursing, Medical Research, Pharmaceuticals, Patient Care",1
"Development worker, international aid",Norris Inc,Bangalore,Mid Level,54000,Manufacturing,"Quality Control, Supply Chain, Production Planning",5
Water engineer,Luna and Sons,Toronto,Senior Level,87000,Healthcare,Pharmaceuticals,5
"Research officer, political party",Esparza-Montgomery,Sydney,Senior Level,59000,Software,"Python, AWS, Java",3
Animal technologist,Jones-Moore,Berlin,Mid Level,51000,Marketing,"Google Ads, Content Writing",5
Operations geologist,Ramos-Salazar,New York,Senior Level,89000,Retail,"Sales, Customer Service, Merchandising",4
Veterinary surgeon,"Ellis, Rodriguez and Peterson",Berlin,Mid Level,74000,Healthcare,Nursing,2
"Nurse, mental health",Lee PLC,London,Senior Level,51000,Manufacturing,"Quality Control, Production Planning",4
Financial manager,David Ltd,Sydney,Senior Level,73000,Retail,"Sales, Merchandising, Customer Service",1
"Conservator, furniture",Bush-Wright,Bangalore,Entry Level,147000,Healthcare,"Medical Research, Pharmaceuticals, Patient Care",5
Museum education officer,Johnson-Flores,Sydney,Entry Level,116000,Manufacturing,Production Planning,1
Information officer,Garcia and Sons,Toronto,Entry Level,116000,Retail,"Customer Service, Sales",2
Charity fundraiser,"Rios, Thompson and Peterson",Toronto,Senior Level,83000,Healthcare,"Medical Research, Patient Care, Pharmaceuticals",1
Mechanical engineer,"Perez, Mcpherson and Poole",London,Mid Level,144000,Education,"EdTech, Research",4
Interior and spatial designer,"Lawrence, Smith and Mercado",San Francisco,Entry Level,135000,Software,"React, Python, AWS",3
Administrator,"Hardy, Kelley and Rodriguez",Toronto,Mid Level,147000,Retail,"Merchandising, Sales, Customer Service",4
Animal technologist,Henry and Sons,Berlin,Mid Level,69000,Finance,"Excel, Financial Modeling",4
"Engineer, building services",Nelson LLC,New York,Mid Level,95000,Finance,"SQL, Excel",3
Mechanical engineer,Fitzgerald Ltd,San Francisco,Senior Level,56000,Software,Java,1
Physiological scientist,Strickland and Sons,Berlin,Mid Level,144000,Education,"Curriculum Design, Teaching",4
Stage manager,Copeland-Young,Berlin,Senior Level,96000,Manufacturing,"Quality Control, Production Planning",1
Land,Owens Ltd,Toronto,Mid Level,60000,Healthcare,"Patient Care, Nursing, Pharmaceuticals",4
Medical physicist,Ruiz-Wall,Berlin,Mid Level,122000,Manufacturing,"Quality Control, Supply Chain, Production Planning",2
Theatre director,Holt-Sanchez,New York,Mid Level,63000,Healthcare,"Nursing, Patient Care, Pharmaceuticals, Medical Research",2
Research scientist (maths),Wilson LLC,London,Senior Level,145000,Retail,"Customer Service, Sales, Merchandising",2
"Engineer, maintenance (IT)","Villarreal, Ellison and Wong",Sydney,Mid Level,119000,Finance,"Excel, Risk Analysis, Financial Modeling, SQL",1
"Designer, interior/spatial",Vargas Ltd,Bangalore,Senior Level,150000,Software,"Java, Python, C++, Machine Learning",4
Community education officer,"Thomas, Clarke and Miller",Berlin,Senior Level,90000,Retail,"Merchandising, Customer Service, Sales",1
Tree surgeon,"Patel, Young and Curry",Sydney,Entry Level,98000,Education,"Curriculum Design, Teaching",4
IT trainer,"Hughes, Joyce and Shelton",Berlin,Entry Level,42000,Retail,"Sales, Customer Service, Merchandising",3
"Designer, jewellery",Mercado-Reese,London,Senior Level,85000,Retail,"Sales, Customer Service",1
Police officer,Jackson-Smith,New York,Mid Level,46000,Finance,"SQL, Risk Analysis, Python, Excel",5
